camp_id,camp_name,camp_lat,camp_lng,camp_radius_km,camp_status,operator_phone,alert_type,alert_risk,disaster_idx,overall_risk,flood_risk,earthquake_risk,landslide_risk,cyclone_risk,current_headcount,camp_capacity,occupancy_pct,hour_of_day,hour_abs,day_of_disaster,time_since_disaster_hrs,phase,phase_hour,arrivals_last_1h,arrivals_last_3h,arrivals_last_6h,departures_last_1h,departures_last_3h,arrival_velocity,net_flow_last_3h,remaining_pool_estimate,road_accessibility,rescue_ops_active,distance_from_epicenter_km,zone_population_density,camp_quality_score,nearby_camps_count,dtype_flood,dtype_earthquake,dtype_landslide,dtype_cyclone,headcount_next_6h
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,51,600,8.5,0,0,0,0,0,0,3,3,3,0,0,0.0,3,3345.9375579527455,1.0,0,2.1,80000,0.7,4,1,0,0,0,59.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,51,600,8.5,1,1,0,1,0,1,0,3,3,0,0,0.0,3,3345.9375579527455,1.0,0,2.1,80000,0.7,4,1,0,0,0,73.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,52,600,8.7,2,2,0,2,0,2,2,5,5,1,1,0.0,4,3343.9375579527455,1.0,0,2.1,80000,0.7,4,1,0,0,0,92.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,52,600,8.7,3,3,0,3,0,3,0,2,5,0,1,-0.3333322222259259,1,3343.9375579527455,1.0,0,2.1,80000,0.7,4,1,0,0,0,122.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,52,600,8.7,4,4,0,4,0,4,1,3,6,1,2,0.0,1,3342.9375579527455,1.0,0,2.1,80000,0.7,4,1,0,0,0,166.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,57,600,9.5,5,5,0,5,0,5,5,6,11,0,1,0.19999960000080003,5,3337.9375579527455,1.0,0,2.1,80000,0.7,4,1,0,0,0,210.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,59,600,9.8,6,6,0,6,0,6,2,8,10,0,1,2.9999850000749997,7,3335.9375579527455,0.3768807022739411,1,2.1,80000,0.7,4,1,0,0,0,253.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,73,600,12.2,7,7,0,7,0,7,15,22,25,1,1,6.333312222292593,21,3320.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,292.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,92,600,15.3,8,8,0,8,0,8,19,36,42,0,1,4.999991666680556,35,3301.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,329.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,122,600,20.3,9,9,0,9,0,9,31,65,73,1,2,7.124991093761133,63,3270.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,360.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,166,600,27.7,10,10,0,10,0,10,44,94,116,0,1,3.272725785124643,93,3226.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,399.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,210,600,35.0,11,11,0,11,0,11,45,120,156,1,2,2.333332685185365,118,3181.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,406.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,253,600,42.2,12,12,0,12,0,12,43,132,197,0,1,1.0307690721893734,131,3138.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,430.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,HIGH,0,HIGH,HIGH,LOW,LOW,LOW,292,600,48.7,13,13,0,13,0,13,39,127,221,0,1,0.35106379244002206,126,3099.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,443.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,329,600,54.8,14,14,0,14,0,14,42,124,244,5,5,0.03333333055555578,119,3057.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,461.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,360,600,60.0,15,15,0,15,0,15,33,114,246,2,7,-0.13636362603305863,107,3024.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,466.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,399,600,66.5,16,16,0,16,0,16,40,115,242,1,8,-0.09448818153636365,107,2984.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,467.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,406,600,67.7,17,17,0,17,0,17,8,81,205,1,4,-0.34677416558272856,77,2976.9375579527455,0.28426515587431495,1,2.1,80000,0.7,4,1,0,0,0,467.0
7c745b0b-2511-4eea-b4f4-4ee962f2068e,Dharavi Relief Camp,19.0422,72.8533,3.0,active,+912212345678,FLOOD,LOW,0,LOW,LOW,LOW,LOW,LOW,430,600,71.7,18,18,0,18,0,18,27,75,189,3,5,-0.34210523314866376,70,2949.9375579527455,1.0,1,2.1,80000,0.7,4,1,0,0,0,469.0
